Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
,March 2018,"$1,400K",1.3%,32.1%,23,4.5%,53.3%,27,68.8%,-3.6%,13,44.4%,0.0%,12,1,-24,101.7%,-2.5%,1.4%
,April 2018,"$1,365K",-2.5%,3.4%,27,17.4%,35.0%,33,22.2%,0.0%,14,7.7%,-12.5%,8,-4,-2,101.8%,0.1%,-1.9%
,May 2018,"$1,360K",-0.4%,7.5%,29,7.4%,0.0%,42,27.3%,7.7%,15,7.1%,7.1%,11,3,2,103.8%,2.0%,-1.1%
,June 2018,"$1,376K",1.2%,3.9%,36,24.1%,12.5%,52,23.8%,13.0%,18,20.0%,-5.3%,7,-4,-5,103.8%,0.0%,-0.3%
,July 2018,"$1,350K",-1.9%,19.9%,43,19.4%,7.5%,48,-7.7%,0.0%,23,27.8%,21.1%,11,4,-1,102.3%,-1.5%,-1.5%
,August 2018,"$1,350K",0.0%,24.9%,33,-23.3%,-17.5%,39,-18.8%,-7.1%,23,0.0%,64.3%,11,1,0,99.3%,-3.0%,-3.7%
,September 2018,"$1,120K",-17.0%,6.7%,24,-27.3%,-38.5%,29,-25.6%,-17.1%,20,-13.0%,-20.0%,15,4,6,97.5%,-1.8%,-5.4%
,October 2018,"$1,730K",54.5%,50.4%,22,-8.3%,-21.4%,31,6.9%,0.0%,17,-15.0%,-32.0%,29,14,20,95.3%,-2.3%,-6.9%
,November 2018,"$1,500K",-13.3%,12.2%,32,45.5%,60.0%,27,-12.9%,3.8%,12,-29.4%,-29.4%,26,-3,17,97.5%,2.2%,-3.4%
,December 2018,"$1,400K",-6.7%,4.7%,33,3.1%,83.3%,17,-37.0%,54.5%,9,-25.0%,-25.0%,25,-1,15,97.6%,0.1%,-5.6%
,January 2019,"$1,158K",-17.3%,-28.1%,23,-30.3%,43.8%,8,-52.9%,-33.3%,7,-22.2%,-30.0%,25,0,-4,98.7%,1.1%,-4.1%
,February 2019,"$1,218K",5.2%,-11.9%,14,-39.1%,-36.4%,13,62.5%,-18.8%,10,42.9%,11.1%,41,16,30,96.8%,-1.9%,-7.5%
,March 2019,"$1,290K",6.0%,-7.9%,16,14.3%,-30.4%,26,100.0%,-3.7%,16,60.0%,23.1%,16,-25,4,99.8%,3.1%,-1.9%
,April 2019,"$1,295K",0.4%,-5.1%,17,6.3%,-37.0%,31,19.2%,-6.1%,15,-6.3%,7.1%,9,-7,1,101.2%,1.4%,-0.6%
,May 2019,"$1,250K",-3.5%,-8.1%,23,35.3%,-20.7%,47,51.6%,11.9%,25,66.7%,66.7%,13,4,3,100.0%,-1.2%,-3.8%
,June 2019,"$1,154K",-7.7%,-16.2%,26,13.0%,-27.8%,55,17.0%,5.8%,31,24.0%,72.2%,8,-5,1,100.1%,0.1%,-3.7%
,July 2019,"$1,070K",-7.3%,-20.7%,35,34.6%,-18.6%,51,-7.3%,6.3%,17,-45.2%,-26.1%,9,1,-2,100.9%,0.8%,-1.4%
,August 2019,"$1,150K",7.5%,-14.8%,39,11.4%,18.2%,35,-31.4%,-10.3%,12,-29.4%,-47.8%,10,2,-1,100.9%,0.0%,1.6%
,September 2019,"$1,108K",-3.7%,-1.1%,41,5.1%,70.8%,23,-34.3%,-20.7%,16,33.3%,-20.0%,33,23,18,99.3%,-1.6%,1.8%
,October 2019,"$1,308K",18.0%,-24.4%,32,-22.0%,45.5%,27,17.4%,-12.9%,16,0.0%,-5.9%,57,24,28,97.6%,-1.7%,2.4%
,November 2019,"$1,139K",-12.9%,-24.1%,24,-25.0%,-25.0%,25,-7.4%,-7.4%,15,-6.3%,25.0%,36,-21,10,97.7%,0.1%,0.3%
,December 2019,"$1,185K",4.0%,-15.4%,18,-25.0%,-45.5%,18,-28.0%,5.9%,9,-40.0%,0.0%,13,-23,-13,98.3%,0.5%,0.7%
,January 2020,"$1,226K",3.5%,5.9%,19,5.6%,-17.4%,15,-16.7%,87.5%,8,-11.1%,14.3%,21,9,-4,97.7%,-0.6%,-1.0%
,February 2020,"$1,526K",24.5%,25.3%,19,0.0%,35.7%,14,-6.7%,7.7%,7,-12.5%,-30.0%,31,10,-10,97.1%,-0.6%,0.4%
,March 2020,"$1,552K",1.7%,20.3%,18,-5.3%,12.5%,23,64.3%,-11.5%,13,85.7%,-18.8%,12,-19,-4,99.7%,2.5%,-0.2%
,April 2020,"$1,570K",1.2%,21.2%,15,-16.7%,-11.8%,23,0.0%,-25.8%,12,-7.7%,-20.0%,8,-4,-1,100.8%,1.1%,-0.4%
,May 2020,"$1,425K",-9.2%,14.0%,15,0.0%,-34.8%,31,34.8%,-34.0%,14,16.7%,-44.0%,8,0,-5,101.2%,0.4%,1.2%
,June 2020,"$1,298K",-8.9%,12.5%,24,60.0%,-7.7%,40,29.0%,-27.3%,17,21.4%,-45.2%,16,8,8,99.0%,-2.2%,-1.1%
,July 2020,"$1,298K",0.0%,21.3%,38,58.3%,8.6%,44,10.0%,-13.7%,12,-29.4%,-29.4%,12,-4,4,99.7%,0.7%,-1.2%
,August 2020,"$1,353K",4.3%,17.7%,46,21.1%,17.9%,53,20.5%,51.4%,16,33.3%,33.3%,8,-4,-2,100.6%,0.9%,-0.3%
,September 2020,"$1,393K",2.9%,25.7%,48,4.3%,17.1%,47,-11.3%,104.3%,16,0.0%,0.0%,7,-1,-26,101.2%,0.6%,1.9%
,October 2020,"$1,450K",4.1%,10.9%,43,-10.4%,34.4%,49,4.3%,81.5%,14,-12.5%,-12.5%,7,0,-50,101.5%,0.3%,3.8%
"Seattle, WA - Brighton",February 2012,$163K,-17.9%,-24.8%,14,-17.6%,40.0%,23,43.8%,9.5%,22,-4.3%,-38.9%,62,-4,-32,94.5%,-3.7%,-3.1%
,March 2012,$163K,0.0%,-31.2%,20,42.9%,66.7%,27,17.4%,8.0%,26,18.2%,-21.2%,53,-9,-48,95.0%,0.5%,-1.8%
,April 2012,$180K,10.6%,-23.9%,24,20.0%,100.0%,27,0.0%,22.7%,24,-7.7%,-14.3%,53,0,-38,95.4%,0.4%,-1.0%
,May 2012,$200K,11.2%,-12.7%,23,-4.2%,109.1%,22,-18.5%,-4.3%,13,-45.8%,-55.2%,46,-7,-39,95.8%,0.4%,1.6%
,June 2012,$191K,-4.4%,-3.2%,22,-4.3%,29.4%,20,-9.1%,-16.7%,15,15.4%,-54.5%,50,4,-9,95.5%,-0.3%,-1.5%
,July 2012,$180K,-5.8%,-8.7%,19,-13.6%,5.6%,20,0.0%,-33.3%,18,20.0%,-53.8%,48,-2,-5,96.5%,1.1%,-0.7%
,August 2012,$168K,-6.7%,-20.0%,17,-10.5%,-10.5%,24,20.0%,-7.7%,21,16.7%,-34.4%,48,0,2,97.3%,0.8%,-0.4%
,September 2012,$168K,0.0%,-25.3%,11,-35.3%,-35.3%,22,-8.3%,-26.7%,23,9.5%,-32.4%,47,-1,1,93.2%,-4.0%,-4.9%
,October 2012,$195K,16.1%,-17.0%,9,-18.2%,-55.0%,23,4.5%,0.0%,19,-17.4%,-38.7%,11,-36,-36,91.9%,-1.4%,-7.7%
,November 2012,$195K,0.0%,-18.8%,13,44.4%,-43.5%,19,-17.4%,-13.6%,16,-15.8%,-38.5%,8,-3,-42,94.6%,2.7%,-6.4%
,December 2012,$218K,11.5%,-7.4%,17,30.8%,-10.5%,18,-5.3%,12.5%,17,6.3%,-34.6%,22,14,-97,98.9%,4.3%,-1.8%
,January 2013,$218K,0.0%,9.8%,21,23.5%,23.5%,18,0.0%,12.5%,15,-11.8%,-34.8%,44,22,-22,99.7%,0.8%,1.5%
,February 2013,$219K,0.6%,34.6%,20,-4.8%,42.9%,16,-11.1%,-30.4%,14,-6.7%,-36.4%,33,-11,-29,100.2%,0.5%,5.7%
,March 2013,$245K,12.0%,50.7%,17,-15.0%,-15.0%,16,0.0%,-40.7%,17,21.4%,-34.6%,55,22,2,101.1%,0.9%,6.1%
,April 2013,$270K,10.2%,50.2%,12,-29.4%,-50.0%,16,0.0%,-40.7%,17,0.0%,-29.2%,55,0,2,100.9%,-0.2%,5.5%
,May 2013,$236K,-12.8%,17.8%,14,16.7%,-39.1%,30,87.5%,36.4%,25,47.1%,92.3%,74,19,28,100.2%,-0.7%,4.4%
,June 2013,$188K,-20.2%,-1.6%,18,28.6%,-18.2%,33,10.0%,65.0%,26,4.0%,73.3%,67,-7,17,97.6%,-2.6%,2.2%
,July 2013,$205K,9.1%,13.9%,23,27.8%,21.1%,36,9.1%,80.0%,22,-15.4%,22.2%,55,-12,7,98.1%,0.4%,1.6%
,August 2013,$241K,17.6%,43.5%,26,13.0%,52.9%,24,-33.3%,0.0%,21,-4.5%,0.0%,25,-30,-23,98.7%,0.6%,1.4%
,September 2013,$240K,-0.4%,42.9%,25,-3.8%,127.3%,24,0.0%,9.1%,23,9.5%,0.0%,26,1,-21,101.3%,2.6%,8.0%
,October 2013,$229K,-4.8%,17.2%,22,-12.0%,144.4%,21,-12.5%,-8.7%,18,-21.7%,-5.3%,26,0,15,100.8%,-0.5%,8.9%
,November 2013,$226K,-1.1%,15.9%,21,-4.5%,61.5%,20,-4.8%,5.3%,14,-22.2%,-12.5%,55,29,47,99.5%,-1.3%,4.9%
,December 2013,$221K,-2.2%,1.6%,20,-4.8%,17.6%,19,-5.0%,5.6%,14,0.0%,-17.6%,50,-5,28,97.0%,-2.5%,-1.9%
,January 2014,$219K,-0.9%,0.7%,24,20.0%,14.3%,19,0.0%,5.6%,13,-7.1%,-13.3%,70,20,27,98.5%,1.5%,-1.2%
,February 2014,$232K,5.7%,5.8%,20,-16.7%,0.0%,26,36.8%,62.5%,18,38.5%,28.6%,71,1,38,99.8%,1.3%,-0.4%
,March 2014,$271K,17.2%,10.8%,20,0.0%,17.6%,26,0.0%,62.5%,19,5.6%,11.8%,41,-30,-14,103.3%,3.5%,2.2%
,April 2014,$302K,11.3%,11.9%,22,10.0%,83.3%,24,-7.7%,50.0%,20,5.3%,17.6%,16,-26,-40,102.7%,-0.6%,1.8%
,May 2014,$272K,-9.9%,15.5%,25,13.6%,78.6%,22,-8.3%,-26.7%,20,0.0%,-20.0%,36,20,-38,100.6%,-2.1%,0.3%
,June 2014,$279K,2.4%,48.2%,24,-4.0%,33.3%,22,0.0%,-33.3%,21,5.0%,-19.2%,17,-19,-51,99.0%,-1.5%,1.4%
,July 2014,$296K,6.1%,44.1%,16,-33.3%,-30.4%,22,0.0%,-38.9%,18,-14.3%,-18.2%,27,11,-28,98.7%,-0.4%,0.6%
,August 2014,$320K,8.1%,32.6%,16,0.0%,-38.5%,21,-4.5%,-12.5%,15,-16.7%,-28.6%,23,-4,-2,99.2%,0.5%,0.5%
,September 2014,$299K,-6.4%,24.6%,18,12.5%,-28.0%,21,0.0%,-12.5%,21,40.0%,-8.7%,32,9,6,98.2%,-1.0%,-3.1%
,October 2014,$285K,-4.7%,24.7%,21,16.7%,-4.5%,25,19.0%,19.0%,25,19.0%,38.9%,37,5,11,98.1%,-0.1%,-2.7%
,November 2014,$288K,1.1%,27.4%,16,-23.8%,-23.8%,24,-4.0%,20.0%,21,-16.0%,50.0%,21,-16,-34,100.4%,2.3%,0.9%
,December 2014,$281K,-2.6%,26.9%,14,-12.5%,-30.0%,19,-20.8%,0.0%,17,-19.0%,21.4%,30,9,-20,99.1%,-1.3%,2.1%
,January 2015,$244K,-13.2%,11.2%,11,-21.4%,-54.2%,14,-26.3%,-26.3%,13,-23.5%,0.0%,30,0,-40,99.3%,0.2%,0.8%
,February 2015,$276K,13.3%,19.2%,11,0.0%,-45.0%,18,28.6%,-30.8%,15,15.4%,-16.7%,51,21,-20,96.6%,-2.7%,-3.2%
,March 2015,$319K,15.6%,17.6%,14,27.3%,-30.0%,21,16.7%,-19.2%,13,-13.3%,-31.6%,32,-19,-9,101.7%,5.1%,-1.6%
,April 2015,$344K,7.8%,13.8%,18,28.6%,-18.2%,37,76.2%,54.2%,21,61.5%,5.0%,13,-19,-3,102.3%,0.6%,-0.4%
,May 2015,$355K,3.3%,30.5%,24,33.3%,-4.0%,35,-5.4%,59.1%,22,4.8%,10.0%,8,-6,-28,105.7%,3.4%,5.2%
,June 2015,$335K,-5.6%,20.3%,29,20.8%,20.8%,38,8.6%,72.7%,19,-13.6%,-9.5%,13,6,-4,104.0%,-1.8%,4.9%
,July 2015,$357K,6.7%,21.0%,32,10.3%,100.0%,28,-26.3%,27.3%,17,-10.5%,-5.6%,10,-4,-18,104.6%,0.6%,5.9%
,August 2015,$330K,-7.7%,3.3%,32,0.0%,100.0%,33,17.9%,57.1%,25,47.1%,66.7%,14,5,-9,103.7%,-0.9%,4.5%
,September 2015,$367K,11.2%,22.7%,22,-31.3%,22.2%,40,21.2%,90.5%,23,-8.0%,9.5%,10,-5,-23,104.9%,1.2%,6.7%
,October 2015,$400K,9.0%,40.4%,31,40.9%,47.6%,42,5.0%,68.0%,21,-8.7%,-16.0%,10,1,-27,102.7%,-2.2%,4.6%
,November 2015,$415K,3.8%,44.1%,28,-9.7%,75.0%,32,-23.8%,33.3%,16,-23.8%,-23.8%,13,3,-9,101.6%,-1.1%,1.2%
,December 2015,$401K,-3.4%,43.0%,32,14.3%,128.6%,18,-43.8%,-5.3%,10,-37.5%,-41.2%,12,-1,-18,101.3%,-0.3%,2.2%
,January 2016,$400K,-0.3%,64.3%,17,-46.9%,54.5%,10,-44.4%,-28.6%,6,-40.0%,-53.8%,15,3,-15,100.5%,-0.8%,1.2%
,February 2016,$380K,-5.0%,37.7%,17,0.0%,54.5%,10,0.0%,-44.4%,6,0.0%,-60.0%,15,0,-36,99.4%,-1.0%,2.9%
,March 2016,$400K,5.3%,25.4%,13,-23.5%,-7.1%,14,40.0%,-33.3%,7,16.7%,-46.2%,14,-1,-18,100.9%,1.5%,-0.8%
,April 2016,$390K,-2.5%,13.5%,16,23.1%,-11.1%,25,78.6%,-32.4%,11,57.1%,-47.6%,14,-1,1,104.9%,4.0%,2.6%
,May 2016,$400K,2.6%,12.7%,19,18.8%,-20.8%,29,16.0%,-17.1%,9,-18.2%,-59.1%,11,-3,4,104.7%,-0.2%,-1.0%
,June 2016,$378K,-5.6%,12.7%,24,26.3%,-17.2%,34,17.2%,-10.5%,8,-11.1%,-57.9%,9,-2,-4,103.5%,-1.2%,-0.5%
,July 2016,$430K,13.9%,20.3%,25,4.2%,-21.9%,26,-23.5%,-7.1%,10,25.0%,-41.2%,8,-1,-2,103.3%,-0.1%,-1.2%
,August 2016,$428K,-0.6%,29.5%,20,-20.0%,-37.5%,28,7.7%,-15.2%,14,40.0%,-44.0%,8,0,-6,104.0%,0.6%,0.3%
,September 2016,$377K,-11.8%,2.7%,17,-15.0%,-22.7%,39,39.3%,-2.5%,22,57.1%,-4.3%,9,1,-1,104.7%,0.7%,-0.2%
,October 2016,$440K,16.7%,10.0%,23,35.3%,-25.8%,45,15.4%,7.1%,21,-4.5%,0.0%,8,-1,-2,104.3%,-0.4%,1.6%
,November 2016,$441K,0.3%,6.3%,30,30.4%,7.1%,43,-4.4%,34.4%,12,-42.9%,-25.0%,8,0,-5,103.2%,-1.1%,1.6%
,December 2016,$475K,7.6%,18.4%,36,20.0%,12.5%,24,-44.2%,33.3%,4,-66.7%,-60.0%,11,3,-1,102.7%,-0.5%,1.4%
,January 2017,$472K,-0.6%,18.0%,32,-11.1%,88.2%,16,-33.3%,60.0%,7,75.0%,16.7%,28,17,13,102.1%,-0.6%,1.6%
,February 2017,$480K,1.7%,26.3%,23,-28.1%,35.3%,14,-12.5%,40.0%,4,-42.9%,-33.3%,44,16,29,102.4%,0.4%,3.0%
,March 2017,$487K,1.4%,21.7%,22,-4.3%,69.2%,17,21.4%,21.4%,7,75.0%,0.0%,8,-36,-6,106.9%,4.5%,6.0%
,April 2017,$502K,3.2%,28.8%,14,-36.4%,-12.5%,21,23.5%,-16.0%,8,14.3%,-27.3%,8,0,-6,108.0%,1.1%,3.1%
,May 2017,$523K,4.0%,30.6%,20,42.9%,5.3%,26,23.8%,-10.3%,12,50.0%,33.3%,7,-1,-4,111.8%,3.8%,7.1%
,June 2017,$523K,0.0%,38.4%,18,-10.0%,-25.0%,35,34.6%,2.9%,10,-16.7%,25.0%,7,0,-2,110.5%,-1.3%,7.0%
,July 2017,$530K,1.4%,23.3%,29,61.1%,16.0%,36,2.9%,38.5%,4,-60.0%,-60.0%,9,2,1,106.1%,-4.3%,2.8%
,August 2017,$530K,0.0%,24.0%,33,13.8%,65.0%,32,-11.1%,14.3%,9,125.0%,-35.7%,10,2,2,103.1%,-3.1%,-0.9%
,September 2017,$515K,-2.8%,36.6%,33,0.0%,94.1%,25,-21.9%,-35.9%,11,22.2%,-50.0%,10,0,1,102.3%,-0.8%,-2.4%
,October 2017,$500K,-2.9%,13.6%,23,-30.3%,0.0%,19,-24.0%,-57.8%,7,-36.4%,-66.7%,9,-1,1,103.7%,1.5%,-0.6%
,November 2017,$494K,-1.2%,12.0%,17,-26.1%,-43.3%,16,-15.8%,-62.8%,7,0.0%,-41.7%,14,5,6,103.1%,-0.7%,-0.2%
,December 2017,$615K,24.5%,29.5%,13,-23.5%,-63.9%,12,-25.0%,-50.0%,7,0.0%,75.0%,11,-3,0,101.9%,-1.2%,-0.8%
,January 2018,$573K,-6.9%,21.3%,16,23.1%,-50.0%,23,91.7%,43.8%,9,28.6%,28.6%,12,1,-16,102.3%,0.4%,0.2%
,February 2018,$535K,-6.6%,11.5%,15,-6.3%,-34.8%,22,-4.3%,57.1%,7,-22.2%,75.0%,8,-4,-36,108.6%,6.3%,6.1%
,March 2018,$540K,1.0%,11.0%,18,20.0%,-18.2%,24,9.1%,41.2%,5,-28.6%,-28.6%,8,-1,-1,107.7%,-0.8%,0.8%
,April 2018,$565K,4.6%,12.5%,23,27.8%,64.3%,18,-25.0%,-14.3%,9,80.0%,12.5%,7,-1,-1,110.3%,2.6%,2.3%
,May 2018,$600K,6.1%,14.8%,22,-4.3%,10.0%,21,16.7%,-19.2%,8,-11.1%,-33.3%,7,0,0,106.7%,-3.7%,-5.1%
,June 2018,$610K,1.7%,16.7%,22,0.0%,22.2%,36,71.4%,2.9%,16,100.0%,60.0%,7,0,0,108.3%,1.6%,-2.2%
,July 2018,$528K,-13.5%,-0.5%,23,4.5%,-20.7%,35,-2.8%,-2.8%,12,-25.0%,200.0%,12,5,3,104.5%,-3.8%,-1.6%
,August 2018,$518K,-1.9%,-2.4%,28,21.7%,-15.2%,38,8.6%,18.8%,15,25.0%,66.7%,12,1,2,103.8%,-0.8%,0.7%
,September 2018,$515K,-0.5%,0.0%,27,-3.6%,-18.2%,21,-44.7%,-16.0%,13,-13.3%,18.2%,12,0,2,101.5%,-2.3%,-0.8%
,October 2018,$520K,1.0%,4.0%,17,-37.0%,-26.1%,21,0.0%,10.5%,14,7.7%,100.0%,13,1,4,100.1%,-1.4%,-3.6%
,November 2018,$537K,3.3%,8.7%,11,-35.3%,-35.3%,21,0.0%,31.3%,18,28.6%,157.1%,11,-2,-3,98.7%,-1.5%,-4.4%
,December 2018,$630K,17.3%,2.4%,9,-18.2%,-30.8%,17,-19.0%,41.7%,15,-16.7%,114.3%,59,48,48,98.4%,-0.3%,-3.5%
,January 2019,$520K,-17.5%,-9.3%,12,33.3%,-25.0%,11,-35.3%,-52.2%,10,-33.3%,11.1%,43,-16,31,99.7%,1.3%,-2.6%
,February 2019,$502K,-3.4%,-6.2%,11,-8.3%,-26.7%,6,-45.5%,-72.7%,10,0.0%,42.9%,27,-16,19,100.6%,0.9%,-8.0%
,March 2019,$497K,-0.9%,-8.0%,12,9.1%,-33.3%,15,150.0%,-37.5%,11,10.0%,120.0%,8,-19,1,101.3%,0.8%,-6.4%
,April 2019,$533K,7.3%,-5.6%,12,0.0%,-47.8%,19,26.7%,5.6%,9,-18.2%,0.0%,6,-2,-1,101.0%,-0.3%,-9.3%
,May 2019,$595K,11.6%,-0.8%,17,41.7%,-22.7%,28,47.4%,33.3%,10,11.1%,25.0%,6,0,-1,99.2%,-1.8%,-7.4%
,June 2019,$560K,-5.9%,-8.2%,23,35.3%,4.5%,28,0.0%,-22.2%,12,20.0%,-25.0%,20,14,13,99.2%,0.0%,-9.1%
,July 2019,$590K,5.4%,11.8%,23,0.0%,0.0%,32,14.3%,-8.6%,19,58.3%,58.3%,27,8,16,97.8%,-1.4%,-6.8%
,August 2019,$545K,-7.6%,5.4%,18,-21.7%,-35.7%,27,-15.6%,-28.9%,18,-5.3%,20.0%,27,0,15,97.8%,0.0%,-6.0%
,September 2019,$680K,24.7%,32.0%,17,-5.6%,-37.0%,28,3.7%,33.3%,20,11.1%,53.8%,32,5,20,96.3%,-1.4%,-5.2%
,October 2019,$625K,-8.1%,20.2%,19,11.8%,11.8%,25,-10.7%,19.0%,13,-35.0%,-7.1%,32,0,19,98.2%,1.9%,-1.9%
,November 2019,$588K,-6.0%,9.4%,22,15.8%,100.0%,20,-20.0%,-4.8%,10,-23.1%,-44.4%,32,0,21,98.3%,0.1%,-0.4%
,December 2019,$553K,-5.9%,-12.3%,18,-18.2%,100.0%,12,-40.0%,-29.4%,6,-40.0%,-60.0%,29,-3,-30,98.4%,0.1%,0.0%
,January 2020,$500K,-9.5%,-3.8%,15,-16.7%,25.0%,12,0.0%,9.1%,6,0.0%,-40.0%,40,11,-3,97.2%,-1.2%,-2.5%
,February 2020,$590K,18.0%,17.6%,13,-13.3%,18.2%,12,0.0%,100.0%,3,-50.0%,-70.0%,26,-14,-1,98.2%,1.1%,-2.3%
,March 2020,$600K,1.7%,20.7%,16,23.1%,33.3%,18,50.0%,20.0%,4,33.3%,-63.6%,9,-17,1,100.2%,2.0%,-1.1%
,April 2020,$620K,3.3%,16.2%,17,6.3%,41.7%,18,0.0%,-5.3%,8,100.0%,-11.1%,6,-3,0,101.7%,1.5%,0.7%
,May 2020,$655K,5.7%,10.1%,15,-11.8%,-11.8%,26,44.4%,-7.1%,12,50.0%,20.0%,7,1,1,101.7%,0.0%,2.5%
,June 2020,$700K,6.9%,25.0%,12,-20.0%,-47.8%,27,3.8%,-3.6%,13,8.3%,8.3%,8,1,-12,102.2%,0.5%,3.0%
,July 2020,$596K,-14.9%,1.0%,19,58.3%,-17.4%,28,3.7%,-12.5%,8,-38.5%,-57.9%,18,10,-9,101.7%,-0.5%,4.0%
,August 2020,$593K,-0.5%,8.8%,26,36.8%,44.4%,33,17.9%,22.2%,11,37.5%,-38.9%,19,1,-9,101.4%,-0.3%,3.7%
,September 2020,$602K,1.4%,-11.5%,28,7.7%,64.7%,31,-6.1%,10.7%,11,0.0%,-45.0%,10,-9,-22,101.8%,0.3%,5.4%
,October 2020,$615K,2.2%,-1.6%,23,-17.9%,21.1%,42,35.5%,68.0%,15,36.4%,15.4%,12,2,-20,101.7%,-0.1%,3.5%
"Seattle, WA - Brighton Beach Acre",February 2012,$190K,-22.4%,-1.0%,2,-33.3%,-33.3%,4,100.0%,-42.9%,4,-33.3%,-55.6%,116,4,26,101.1%,-0.3%,2.5%
,March 2012,$215K,13.3%,17.3%,3,50.0%,-25.0%,4,0.0%,-42.9%,4,0.0%,-50.0%,112,-4,4,99.7%,-1.4%,1.5%
,April 2012,$257K,19.2%,33.6%,4,33.3%,33.3%,5,25.0%,25.0%,5,25.0%,0.0%,69,-44,51,100.6%,1.0%,4.6%
,May 2012,$278K,8.3%,45.5%,6,50.0%,50.0%,3,-40.0%,-25.0%,1,-80.0%,-75.0%,69,0,-12,99.3%,-1.3%,2.7%
,June 2012,$278K,0.0%,44.8%,4,-33.3%,-33.3%,5,66.7%,0.0%,3,200.0%,0.0%,65,-4,6,99.2%,-0.1%,1.4%
,July 2012,$258K,-7.2%,36.5%,3,-25.0%,-57.1%,2,-60.0%,-60.0%,2,-33.3%,-50.0%,102,38,56,95.5%,-3.7%,-2.0%
,August 2012,$168K,-34.9%,-11.9%,1,-66.7%,-83.3%,3,50.0%,-40.0%,3,50.0%,-40.0%,102,0,61,93.4%,-2.2%,-4.2%
,September 2012,$168K,0.0%,-34.2%,1,0.0%,-75.0%,1,-66.7%,-85.7%,2,-33.3%,-66.7%,102,0,61,93.4%,0.0%,-2.8%
,October 2012,$245K,46.0%,-20.3%,1,0.0%,-75.0%,1,0.0%,-85.7%,,,,100,-2,88,98.1%,4.7%,-1.6%
,November 2012,$245K,0.0%,-9.6%,1,0.0%,-75.0%,2,100.0%,-60.0%,2,,-60.0%,100,0,87,98.1%,0.0%,-2.2%
,December 2012,$245K,0.0%,0.1%,1,0.0%,-75.0%,4,100.0%,100.0%,4,100.0%,0.0%,100,0,87,98.1%,0.0%,-3.7%
,January 2013,$175K,-28.7%,-28.6%,1,0.0%,-66.7%,4,0.0%,100.0%,2,-50.0%,-66.7%,9,-91,-103,100.0%,1.9%,-1.4%
,February 2013,$177K,1.5%,-6.6%,2,100.0%,0.0%,2,-50.0%,-50.0%,2,0.0%,-50.0%,21,12,-95,98.6%,-1.4%,-2.4%
,March 2013,$177K,0.0%,-17.5%,2,0.0%,-33.3%,1,-50.0%,-75.0%,3,50.0%,-25.0%,21,0,-91,98.6%,0.0%,-1.0%
,April 2013,$180K,1.4%,-29.9%,1,-50.0%,-75.0%,2,100.0%,-60.0%,4,33.3%,-20.0%,33,12,-36,97.3%,-1.4%,-3.3%
,June 2013,$180K,,-35.3%,3,,-25.0%,7,,40.0%,4,,33.3%,12,,-53,101.5%,,2.3%
,July 2013,$180K,0.0%,-30.3%,7,133.3%,133.3%,7,0.0%,250.0%,3,-25.0%,50.0%,15,3,-87,102.1%,0.6%,6.6%
,August 2013,$167K,-6.9%,-0.3%,8,14.3%,700.0%,2,-71.4%,-33.3%,2,-33.3%,-33.3%,20,5,-83,100.4%,-1.7%,7.0%
,September 2013,$155K,-7.4%,-7.7%,5,-37.5%,400.0%,1,-50.0%,0.0%,2,0.0%,0.0%,64,45,-38,99.7%,-0.7%,6.4%
,October 2013,$150K,-3.2%,-38.8%,1,-80.0%,0.0%,2,100.0%,100.0%,2,0.0%,,118,54,18,88.3%,-11.4%,-9.8%
,November 2013,$280K,86.7%,14.2%,2,100.0%,100.0%,4,100.0%,100.0%,3,50.0%,50.0%,9,-109,-91,97.6%,9.3%,-0.5%
,December 2013,$280K,0.0%,14.2%,2,0.0%,100.0%,7,75.0%,75.0%,6,100.0%,50.0%,9,0,-91,97.6%,0.0%,-0.5%
,January 2014,$280K,0.0%,60.1%,2,0.0%,100.0%,7,0.0%,75.0%,6,0.0%,200.0%,9,0,0,97.6%,0.0%,-2.4%
,February 2014,$294K,4.8%,65.4%,2,0.0%,0.0%,10,42.9%,400.0%,9,50.0%,350.0%,37,28,16,101.2%,3.6%,2.6%
,March 2014,$294K,0.0%,65.4%,2,0.0%,0.0%,8,-20.0%,700.0%,9,0.0%,200.0%,37,0,16,101.2%,0.0%,2.6%
,April 2014,$294K,0.0%,63.1%,4,100.0%,300.0%,7,-12.5%,250.0%,10,11.1%,150.0%,64,27,31,97.9%,-3.3%,0.6%
,May 2014,$244K,-16.9%,,3,-25.0%,,5,-28.6%,,9,-10.0%,,64,-1,,98.0%,0.2%,
,June 2014,$320K,31.1%,77.9%,5,66.7%,66.7%,5,0.0%,-28.6%,8,-11.1%,100.0%,36,-28,24,99.9%,1.9%,-1.6%
,July 2014,$417K,30.3%,131.8%,3,-40.0%,-57.1%,4,-20.0%,-42.9%,6,-25.0%,100.0%,8,-28,-7,103.5%,3.6%,1.4%
